step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,,,,,Part 1,Planning the HSSB,,,,,,,,
2,hssb-mockup-1,0.4975897674849475,0.4925490117267778,1.1250000000000002,,Why was the HSSB constructed?,"The HSSB was the solution to a couple of problems. It was built to meet the rising enrollment rates, the expanding humanities-related departments, and to replace some of the temporary buildings from the 1940s and 1950s.",,Want to learn more?,blank_template-learn-more.md,Go deeper,blank_template-go-deeper.md,,,
3,site-map,0.47799076505710514,0.28979609231986203,1.8662399999999997,,How was the HSSB planned?,"UCSB's Office of Budget and Planning initiated planning for the HSSB in 1989, around the same time as the 1990 LRDP. They commissioned the Zimmer-Gunsul-Frasca Partnership (ZGF), an architectural firm known for their unique approach to building science-related buildings.",,Want to learn more?,blank_template-step3-layer1.md,Go deeper,blank_template-step3-layer2.md,,,
4,,,,,,Part 2,NAGPRA and UCSB's Noncompliance,,,,,,,,
5,screenshot-20260528-at-11018-pm,0.31587797297196113,0.500430838259216,0.9,,What is NAGPRA? How did it impact UCSB?,"As UCSB students celebrated the start of the 1990-1991 school year, the United States Senate passed the Native American Graves Protection and Repatriation Act (NAGPRA). ",,Learn more,blank_template-step5-layer1.md,Go deeper,blank_template-step5-layer2.md,,,
6,screenshot-20260528-at-11018-pm,0.3359372996926005,0.4529357094379228,1.389312,,How is the HSSB connected to NAGPRA?,NAGPRA was passed while the HSSB was being planned---which altered how the planning process went.,,Learn more,blank_template-step6-layer1.md,Go deeper,blank_template-step6-layer2.md,,,
7,screenshot-20260528-at-11018-pm,0.26823306556022536,0.4386381825085934,3.120526315789474,,Isn't there a basement facility of sacred Indigenous material?,"There is! However, it’s almost impossible to ascertain any information about the underground repository itself, as tribal permission from the affiliated Chumash tribes in question is necessary to access the collection.",,Learn more,blank_template-step7-layer1.md,,,,,
8,,,,,,Part 3,Sacred History or Public History?,,,,,,,,
9,screenshot-20260609-at-62703-pm,0.679407892156406,0.35889622578278646,1.5552,,"Why is there so little information about UCSB's repatriation activities? ","It may seem counterintuitive to keep the repatriation process under wraps, but it's by design. As discussed in an interview with Dr. Hugh Radde, UCSB’s Repatriation Coordinator, the lack of information is about honoring the source community's wishes at all times---even if that means less public information.",,Learn more,blank_template-step9-layer1.md,Go deeper,blank_template-step9-layer2.md,,,
10,img9560,0.5015656647858797,0.47017612726285685,1.7279999999999995,,What now?,"Since the 2020 amendment of CalNAGPRA, and opening of UCSB's Repatriation Office in 2024, there has been an explosion of repatriation activity in UCSB---all taking place under the HSSB. Although it may remain an obscured, the repatriation process is key to taking responsibility for the past, sustaining collaboration with Indigenous peoples, and creating a better future for all.
",,Learn more,blank_template-step10-layer1.md,,,,,